empresa_base,ticker_on,ticker_pn,ticker_on_yahoo,ticker_pn_yahoo,tipo_pn,nome_empresa,status,motivo_exclusao
ALPA,ALPA3,ALPA4,ALPA3.SA,ALPA4.SA,4,Alpargatas,ok,
BBDC,BBDC3,BBDC4,BBDC3.SA,BBDC4.SA,4,Banco Bradesco,ok,
BRAP,BRAP3,BRAP4,BRAP3.SA,BRAP4.SA,4,Bradespar,ok,
BRKM,BRKM3,BRKM5,BRKM3.SA,BRKM5.SA,5,Braskem,ok,
CMIG,CMIG3,CMIG4,CMIG3.SA,CMIG4.SA,4,Cemig,ok,
CPLE,CPLE3,CPLE6,CPLE3.SA,CPLE6.SA,6,Copel,ok,
ELET,ELET3,ELET6,ELET3.SA,ELET6.SA,6,Eletrobras,ok,
GGBR,GGBR3,GGBR4,GGBR3.SA,GGBR4.SA,4,Gerdau,ok,
GOAU,GOAU3,GOAU4,GOAU3.SA,GOAU4.SA,4,Metalurgica Gerdau,ok,
ITSA,ITSA3,ITSA4,ITSA3.SA,ITSA4.SA,4,Itausa,ok,
ITUB,ITUB3,ITUB4,ITUB3.SA,ITUB4.SA,4,Itau Unibanco,ok,
KLBN,KLBN3,KLBN4,KLBN3.SA,KLBN4.SA,4,Klabin,ok,
PETR,PETR3,PETR4,PETR3.SA,PETR4.SA,4,Petrobras,ok,
PINE,PINE3,PINE4,PINE3.SA,PINE4.SA,4,Banco Pine,ok,
RAPT,RAPT3,RAPT4,RAPT3.SA,RAPT4.SA,4,Randon,ok,
SANB,SANB3,SANB4,SANB3.SA,SANB4.SA,4,Banco Santander Brasil,ok,
SAPR,SAPR3,SAPR4,SAPR3.SA,SAPR4.SA,4,Sanepar,ok,
TAEE,TAEE3,TAEE4,TAEE3.SA,TAEE4.SA,4,Taesa,ok,
USIM,USIM3,USIM5,USIM3.SA,USIM5.SA,5,Usiminas,ok,
